!  
! R    D    M    P
201
262.81250000000006 325.47366175859986 4853903497760.272 -18501945305.79043
264.30000000000007 318.2284935301725 4854321370763.462 -18397995488.520996
265.7875000000001 311.18380842625635 4854734592676.275 -18295200398.55931
267.2750000000001 304.3329859820513 4855143240721.765 -18193540901.79037
268.76250000000005 297.6696593969696 4855547390422.854 -18092998284.507084
270.25000000000006 291.1877044875373 4855947115648.868 -17993554241.928185
271.73750000000007 284.88122917860375 4856342488660.551 -17895190867.08901
273.2250000000001 278.74456350386555 4856733580153.604 -17797890640.09342
274.7125000000001 272.7722500884306 4857120459300.836 -17701636417.711777
276.20000000000005 266.9590350877368 4857503193792.95 -17606411423.312828
